"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10299,13303,
10299,13930,
10299,12478,
10299,11193,
10299,13930,
10299,10693,
10299,12892,
10299,11193,
10299,13930,
10299,12892,
10299,10299,
10299,11630,
10299,10170,
10299,10304,
10299,10299,
10299,11028,
10299,11630,
10299,12676,
10299,15478,
10299,14102,
10299,11555,
10299,12583,
10299,13873,
10299,15478,
10299,15049,
10299,11535,
10299,14895,
10299,13196,
10299,10245,
10299,10754,
10299,10551,
10299,13970,
10299,13873,
10299,11336,
10299,15478,
10299,10304,
10299,13196,
10299,10754,
10299,10551,
10299,13970,
10299,13873,
10299,11336,
10299,15478,
10299,10304,
10299,10170,
10299,14485,
10299,10170,
10299,14485,
10299,11555,
10299,12184,
10299,11618,
10299,13244,
10299,12339,
10299,12016,
10299,12892,
10299,10194,
10304,10551,
10304,10551,
10304,10299,
10304,10299,
10304,10551,
10304,10299,
10304,10551,
10304,11844,
10304,10299,
10304,14987,
10304,10551,
10304,14627,
10304,12719,
10304,12676,
10304,14816,
10304,11028,
10304,12087,
10304,10304,
10304,10996,
10304,14880,
10304,14493,
10304,10313,
10304,10551,
10304,14627,
10304,12719,
10304,12676,
10304,14816,
10304,12087,
10304,10304,
10304,14880,
10304,10313,
10304,14627,
10304,12719,
10304,12676,
10304,14816,
10304,11028,
10304,10304,
10304,10996,
10304,10313,
10304,10299,
10304,14627,
10304,12719,
10304,12676,
10304,14816,
10304,11028,
10304,12087,
10304,14880,
10304,11028,
10304,10996,
10304,10299,
10304,10299,
10313,12087,
10313,12087,
10313,10304,
10313,12676,
10313,10304,
10313,15478,
10313,10304,
10317,13232,
10322,10821,
10322,14122,
10324,12869,
10325,12889,
10325,14689,
10325,15325,
10325,15618,
10325,10372,
10325,14893,
10325,12197,
10329,11697,
10329,15043,
10329,15167,
10333,11433,
10333,11721,
10349,15581,
10349,11630,
10349,15581,
10349,11630,
10349,11833,
10349,15581,
10349,14709,
10349,11630,
10349,11630,
10361,14100,
10372,12892,
10372,15618,
10372,15618,
10372,12127,
10372,12127,
10372,12889,
10372,16853,
10372,13930,
10372,12266,
10372,11292,
10372,11298,
10372,12892,
10372,14107,
10372,14771,
10372,13232,
10372,13232,
10372,11503,
10396,10225,
10396,10754,
10396,14709,
10396,10754,
10397,14747,
10397,11433,
10397,10257,
10397,12323,
10397,10792,
10397,10685,
10397,10980,
10397,11823,
10397,11973,
10397,12448,
10397,10185,
10397,13367,
10397,13422,
10397,12266,
10397,15624,
10397,11995,
10397,15412,
10397,11267,
10397,13871,
10397,13230,
10397,10431,
10397,11146,
10397,10781,
10397,10135,
10397,15323,
10397,11996,
10397,11953,
10397,10990,
10397,12007,
10397,14783,
10397,11977,
10397,10408,
10397,13485,
10397,10208,
10397,13577,
10397,11641,
10397,13795,
10397,10599,
10397,11259,
10397,14492,
10397,14574,
10397,12191,
10397,13495,
10397,12264,
10397,12945,
10397,10693,
10397,15370,
10397,15249,
10397,11481,
10397,12278,
10397,13277,
10397,10868,
10397,14814,
10397,11612,
10397,15919,
10397,12217,
10397,10994,
10397,11423,
10397,13851,
10397,14685,
10397,12951,
10397,12992,
10397,10980,
10397,11823,
10397,10185,
10397,11150,
10397,11995,
10397,15412,
10397,10431,
10397,11146,
10397,15323,
10397,10990,
10397,12007,
10397,14696,
10397,13577,
10397,13377,
10397,14574,
10397,11308,
10397,12945,
10397,15607,
10397,10731,
10397,13277,
10397,10146,
10397,14814,
10397,11612,
10397,15919,
10397,12951,
10397,11057,
10397,14100,
10397,14730,
10397,11057,
10397,11298,
10397,14730,
10397,10194,
10397,10194,
10397,14747,
10397,11193,
10397,11066,
10397,11618,
10397,13891,
10397,14262,
10397,15304,
10397,11292,
10397,12889,
10397,10821,
10397,14747,
10397,11057,
10397,13931,
10397,12339,
10397,14492,
10397,14100,
10397,13495,
10397,14122,
10397,12264,
10397,10529,
10397,10693,
10397,11697,
10397,11481,
10397,15027,
10397,14730,
10397,12478,
10397,14193,
10397,10994,
10397,14027,
10397,14524,
10397,14685,
10397,15304,
10397,11292,
10397,14869,
10397,13487,
10397,12173,
10397,12892,
10397,11697,
10397,14107,
10397,12478,
10397,13204,
10397,11433,
10397,13303,
10397,15016,
10397,14893,
10397,15304,
10397,11292,
10397,14869,
10397,12889,
10397,12451,
10397,13487,
10397,14747,
10397,14570,
10397,11503,
10397,12441,
10397,11298,
10397,12892,
10397,11697,
10397,10721,
10397,14107,
10397,14843,
10397,14908,
10397,13198,
10397,15024,
10397,12478,
10397,14635,
10397,13204,
10397,14027,
10397,11042,
10397,13303,
10397,13930,
10397,15016,
10397,14683,
10397,12266,
10397,11540,
10397,15304,
10397,11624,
10397,13487,
10397,13485,
10397,13931,
10397,13244,
10397,12339,
10397,14492,
10397,12953,
10397,11252,
10397,10423,
10397,11481,
10397,13198,
10397,14524,
10397,11986,
10397,11042,
10397,11433,
10397,13303,
10397,13930,
